0,0,-0.0177921,-0.760124,0.0197826,-2.34205,0.0298405,1.54119,0.753449
-0.0678067,-0.0597081,-0.0333132,-0.785019,-0.122327,-2.15727,0.100876,1.49895,0.91182
0.0320439,0.00346736,-0.0447112,-0.744972,-0.153521,-2.59528,0.0835734,1.96928,0.823956
0.0984011,0.0499108,-0.19588,-0.827264,-0.0208949,-2.34144,0.158101,1.90586,0.521434
0.0390183,0.00621814,-0.396695,-0.571537,0.258227,-2.30044,-0.127881,1.8182,0.352062
0.0155878,0.0629568,-0.204469,-0.558278,0.291633,-2.18803,0.0841908,1.82328,0.183131
-4.77008e-05,0.00175195,-0.00242275,-0.00238848,0.00564084,-0.0350318,0.00105328,0.0348397,0.00337592
-0.292002,-0.12114,-0.836952,-0.621395,1.06208,-0.713497,0.100167,0.363669,0.444091
-0.339165,-0.444904,-0.655312,-0.91315,0.236071,-1.65628,-0.217577,0.825158,-0.801239
0.0779487,-0.236958,-0.11345,-0.591841,0.641879,-1.16282,0.701948,0.928779,-0.167886
0.00348378,-0.346691,0.0776654,-0.544546,1.61948,-1.78728,-0.667049,1.63199,-0.638061
-0.246206,-0.128368,0.442957,-0.252392,1.33466,-1.32551,0.251323,1.82624,-1.21069
-0.0617296,-0.503957,-2.14717,-0.748045,1.74701,-1.1314,0.273925,2.24781,-0.531695
-0.00553188,-0.528796,-2.26221,-0.701,1.29317,-1.34101,-0.0253949,2.4997,-0.0198548
0.0682163,-0.521921,-2.38717,-1.24914,1.57828,-1.70183,0.0422154,2.77984,0.50952
-0.214051,-0.456237,-2.00064,-1.39877,1.86107,-1.58744,0.37471,2.6186,0.333182
-0.166105,-0.30008,-2.0106,-1.50167,1.91812,-1.57199,0.399501,2.66004,0.416177
-0.223121,-0.217852,-1.95108,-1.39768,1.9777,-1.46188,0.11768,2.42705,0.24227
